,Total,Utility_Gas,BottledTankLPGas,Electricity,Fuel,Coal,Wood,Solar,Other,state,county
1677,14785.0,582.0,2006.0,11384.0,490.0,0.0,69.0,0.0,56.0,37,139
1678,22812.0,479.0,1759.0,19710.0,436.0,35.0,221.0,13.0,8.0,37,141
1679,5886.0,400.0,1192.0,4084.0,109.0,0.0,65.0,0.0,19.0,37,143
1680,16153.0,2680.0,2647.0,10067.0,296.0,0.0,461.0,0.0,1.0,37,145
1681,70683.0,9380.0,3964.0,56493.0,318.0,26.0,80.0,0.0,55.0,37,147
1682,9252.0,680.0,1459.0,5771.0,508.0,0.0,713.0,15.0,79.0,37,149
1683,56790.0,8836.0,4976.0,38202.0,2798.0,0.0,1471.0,12.0,109.0,37,151
1684,18201.0,2725.0,2066.0,12446.0,597.0,0.0,237.0,5.0,44.0,37,153
1685,45881.0,3681.0,5652.0,34921.0,601.0,0.0,795.0,0.0,52.0,37,155
1686,38532.0,9152.0,2473.0,23904.0,1548.0,8.0,1044.0,8.0,47.0,37,157
1687,54137.0,13050.0,1801.0,36351.0,1388.0,0.0,1159.0,45.0,33.0,37,159
1688,27525.0,2042.0,2744.0,19989.0,1564.0,50.0,929.0,2.0,54.0,37,161
1689,23162.0,1118.0,4186.0,17338.0,263.0,0.0,123.0,0.0,48.0,37,163
1690,12951.0,1228.0,1477.0,9828.0,112.0,0.0,223.0,0.0,2.0,37,165
1691,19608.0,717.0,1262.0,14699.0,1844.0,14.0,790.0,31.0,47.0,37,169
1692,29001.0,760.0,2242.0,20694.0,3338.0,0.0,1250.0,19.0,135.0,37,171
1693,14648.0,1918.0,1612.0,9127.0,824.0,0.0,1027.0,0.0,12.0,37,175
1694,1652.0,24.0,424.0,1087.0,87.0,0.0,30.0,0.0,0.0,37,177
1695,16895.0,2110.0,1553.0,11721.0,819.0,0.0,563.0,0.0,0.0,37,181
1696,410552.0,175303.0,11346.0,220257.0,977.0,18.0,871.0,162.0,300.0,37,183
1697,5237.0,158.0,1415.0,3341.0,221.0,0.0,102.0,0.0,0.0,37,187
1698,21453.0,871.0,4326.0,10846.0,3718.0,18.0,1547.0,0.0,66.0,37,189
1699,28902.0,567.0,3306.0,20146.0,2823.0,26.0,1741.0,0.0,65.0,37,193
1700,31968.0,10259.0,3020.0,18106.0,211.0,0.0,194.0,0.0,0.0,37,195
1701,7466.0,365.0,1268.0,2327.0,2307.0,10.0,1133.0,3.0,37.0,37,199
1702,101103.0,73711.0,2277.0,15866.0,6720.0,57.0,949.0,230.0,616.0,34,001
1703,168195.0,117616.0,3399.0,30255.0,14186.0,36.0,953.0,609.0,571.0,34,005
1704,190660.0,142772.0,3083.0,31140.0,11340.0,35.0,432.0,281.0,612.0,34,007
