,NAME,state,county
722,"St. Louis County, Missouri",29,189
723,"Saline County, Missouri",29,195
724,"Schuyler County, Missouri",29,197
725,"Scotland County, Missouri",29,199
726,"Scott County, Missouri",29,201
727,"Shelby County, Missouri",29,205
728,"Stoddard County, Missouri",29,207
729,"Sullivan County, Missouri",29,211
730,"Taney County, Missouri",29,213
731,"Vernon County, Missouri",29,217
732,"Warren County, Missouri",29,219
733,"Wayne County, Missouri",29,223
734,"Webster County, Missouri",29,225
735,"Wright County, Missouri",29,229
736,"Alachua County, Florida",12,001
737,"Baker County, Florida",12,003
738,"Bradford County, Florida",12,007
739,"Brevard County, Florida",12,009
740,"Calhoun County, Florida",12,013
741,"Charlotte County, Florida",12,015
742,"Clay County, Florida",12,019
743,"Collier County, Florida",12,021
744,"DeSoto County, Florida",12,027
745,"Dixie County, Florida",12,029
746,"Escambia County, Florida",12,033
747,"Flagler County, Florida",12,035
748,"Gadsden County, Florida",12,039
749,"Gilchrist County, Florida",12,041
750,"Gulf County, Florida",12,045
751,"Hamilton County, Florida",12,047
752,"Hendry County, Florida",12,051
753,"Hernando County, Florida",12,053
754,"Hillsborough County, Florida",12,057
755,"Holmes County, Florida",12,059
756,"Jackson County, Florida",12,063
757,"Jefferson County, Florida",12,065
758,"Lake County, Florida",12,069
759,"Lee County, Florida",12,071
760,"Levy County, Florida",12,075
761,"Madison County, Florida",12,079
762,"Manatee County, Florida",12,081
763,"Martin County, Florida",12,085
764,"Miami-Dade County, Florida",12,086
